,element number,composition,cell,positions,numbers,entry_id,calculation_id,OQMD Formation energy (eV/atom),OQMD Hull distance (eV/atom),natoms,spacegroup
0,1,H,"[[0.0, 0.0, -2.790648], [-1.517271, -1.517271, 1.395323], [-1.517271, 1.517271, -1.395323]]","[[0.866, 0.0, 0.0], [0.134, 0.0, 0.0]]","[1, 1]",5539.0,7427.0,0.0,0.0,2.0,I4/mmm
1,2,He,"[[0.0, 0.0, -2.644166], [2.42271, 2.42271, 1.322083], [2.42271, -2.42271, -1.322083]]","[[0.0, 0.0, 0.0], [0.25, 0.5, 0.5]]","[2, 2]",1215599.0,2694355.0,0.0,0.0,2.0,I41/amd
2,3,Li,"[[-2.949629, 0.0, 0.0], [1.474814, -2.554453, 0.0], [-1.474814, 0.851484, 7.242965]]","[[0.0, 0.0, 0.0], [0.222, 0.778, 0.333], [0.778, 0.222, 0.667]]","[3, 3, 3]",30676.0,8358.0,0.0,0.0,3.0,R-3m
3,4,Be,"[[2.262666, 0.0, 0.0], [-1.131332, 1.959482, 0.0], [0.0, 0.0, 3.568134]]","[[0.333, 0.667, 0.25], [0.667, 0.333, 0.75]]","[4, 4]",622128.0,1232900.0,0.0,0.0,2.0,P63/mmc
4,5,B,"[[2.444654, 4.234265, 0.0], [-4.889307, 0.0, 0.0], [-2.444654, 1.411422, 4.171019]]","[[0.778, 0.148, 0.0732], [0.37, 0.148, 0.0732], [0.778, 0.557, 0.0732], [0.0104, 0.0208, 0.325], [0.654, 0.664, 0.325], [0.0104, 0.664, 0.325], [0.346, 0.336, 0.675], [0.99, 0.336, 0.675], [0.99, 0.979, 0.675], [0.222, 0.443, 0.927], [0.222, 0.852, 0.927], [0.63, 0.852, 0.927]]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",620379.0,1232856.0,0.0,0.0,12.0,R-3m
5,6,C,"[[2.465353, 0.000506, 0.0], [-1.232238, 2.133286, 0.0], [0.0, 0.0, 7.372488]]","[[0.000663, 0.000661, 0.25], [0.333, 0.666, 0.25], [0.999, 0.999, 0.75], [0.667, 0.334, 0.75]]","[6, 6, 6, 6]",1215937.0,2695015.0,0.0,0.0,4.0,P21/m
6,7,N,"[[4.985617, 0.0, 0.0], [0.0, 4.985617, 0.0], [0.0, 0.0, 4.985617]]","[[0.0645, 0.0645, 0.0645], [0.435, 0.565, 0.0645], [0.565, 0.0645, 0.435], [0.935, 0.565, 0.435], [0.0645, 0.435, 0.565], [0.435, 0.935, 0.565], [0.565, 0.435, 0.935], [0.935, 0.935, 0.935]]","[7, 7, 7, 7, 7, 7, 7, 7]",3113.0,34073.0,0.0,0.0,8.0,Pa-3
7,8,O,"[[-1.680522, 0.0, 3.457801], [3.94565, -2.818202, -0.009221], [3.94565, 2.818202, -0.009221]]","[[0.834, 0.16, 0.16], [0.822, 0.706, 0.222], [0.189, 0.232, 0.232], [0.178, 0.778, 0.294], [0.822, 0.222, 0.706], [0.811, 0.768, 0.768], [0.178, 0.294, 0.778], [0.166, 0.84, 0.84]]","[8, 8, 8, 8, 8, 8, 8, 8]",20034.0,148564.0,0.0,0.0,8.0,C2/m
8,9,F,"[[4.866586, 0.0, 0.0], [-1.66408, 4.573237, 0.0], [0.0, 0.0, 7.896047]]","[[0.66, 0.66, 0.0], [0.912, 0.912, 0.0], [0.236, 0.351, 0.0704], [0.741, 0.171, 0.163], [0.136, 0.809, 0.204], [0.636, 0.309, 0.296], [0.241, 0.671, 0.337], [0.736, 0.851, 0.43], [0.16, 0.16, 0.5], [0.412, 0.412, 0.5], [0.851, 0.736, 0.57], [0.671, 0.241, 0.663], [0.309, 0.636, 0.704], [0.809, 0.136, 0.796], [0.171, 0.741, 0.837], [0.351, 0.236, 0.93]]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",1793558.0,4644122.0,-0.0041692906249999,0.0,16.0,Aba2
9,10,Ne,"[[2.2311, -2.2311, 0.0], [-2.2311, 0.0, -2.2311], [2.2311, 2.2311, 0.0]]","[[0.0, 0.0, 0.0]]",[10],8086.0,3637.0,0.0,0.0,1.0,Fm-3m
10,11,Na,"[[3.6179, 0.0, 0.0], [-1.80895, 3.13304, 0.0], [0.0, 0.0, 5.895615]]","[[0.333, 0.667, 0.25], [0.667, 0.333, 0.75]]","[11, 11]",8535.0,6747.0,0.0,0.0,2.0,P63/mmc
11,12,Mg,"[[0.0, -3.19845, 0.0], [-16.53895, 0.0, 0.0], [0.0, 0.0, -5.198247]]","[[0.0, 0.0, 0.0], [0.5, 0.167, 0.0], [0.0, 0.333, 0.0], [0.5, 0.5, 0.0], [0.0, 0.667, 0.0], [0.5, 0.833, 0.0], [0.5, 0.0556, 0.5], [0.0, 0.222, 0.5], [0.5, 0.389, 0.5], [0.0, 0.556, 0.5], [0.5, 0.722, 0.5], [0.0, 0.889, 0.5]]","[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]",752492.0,1690076.0,0.0,0.0,12.0,Cmcm
12,13,Al,"[[-2.84284, 0.0, 0.0], [-1.42142, -2.461972, 0.0], [1.421419, 0.820658, 4.71158]]","[[0.75, 0.75, 0.25], [0.25, 0.25, 0.75]]","[13, 13]",1215750.0,2694645.0,0.0,0.0,2.0,R-3m
13,14,Si,"[[2.732954, -2.732954, 0.0], [-2.732954, 0.0, -2.732954], [2.732954, 2.732954, 0.0]]","[[0.0, 0.0, 0.0], [0.75, 0.5, 0.25]]","[14, 14]",5714.0,5858.0,0.0,0.0,2.0,Fd-3m
14,15,P,"[[12.651384, 0.0273, -0.134595], [-1.82355, 12.891371, 0.030127], [-2.134163, -3.525941, 6.151183]]","[[0.173, 0.128, 0.0785], [0.177, 0.951, 0.0795], [0.152, 0.394, 0.08], [0.155, 0.684, 0.0819], [0.433, 0.0821, 0.0956], [0.407, 0.827, 0.119], [0.404, 0.335, 0.121], [0.4, 0.58, 0.122], [0.0798, 0.548, 0.157], [0.73, 0.523, 0.232], [0.728, 0.771, 0.235], [0.724, 0.275, 0.235], [0.851, 0.416, 0.25], [0.853, 0.67, 0.252], [0.83, 0.157, 0.258], [0.833, 0.929, 0.258], [0.702, 0.024, 0.26], [0.369, 0.998, 0.263], [0.364, 0.226, 0.264], [0.34, 0.485, 0.278], [0.343, 0.738, 0.279], [0.657, 0.262, 0.721], [0.66, 0.515, 0.722], [0.636, 0.774, 0.736], [0.631, 0.00231, 0.737], [0.298, 0.976, 0.74], [0.167, 0.0712, 0.742], [0.17, 0.843, 0.742], [0.147, 0.33, 0.748], [0.149, 0.584, 0.75], [0.276, 0.725, 0.765], [0.272, 0.229, 0.765], [0.27, 0.477, 0.768], [0.92, 0.452, 0.843], [0.6, 0.42, 0.878], [0.596, 0.665, 0.879], [0.593, 0.173, 0.881], [0.567, 0.918, 0.904], [0.845, 0.316, 0.918], [0.848, 0.606, 0.92], [0.823, 0.0489, 0.921], [0.827, 0.872, 0.922]]","[15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",24584.0,1151510.0,0.0,0.0,42.0,P-1
15,16,S,"[[11.033489874, 0.0, 0.0], [0.0, 11.018034898, 0.0], [-1.165134025, 0.0, 11.123470717]]","[[0.94, 0.89, 0.00426], [0.955, 0.0712, 0.0515], [0.549, 0.0499, 0.0518], [0.678, 0.183, 0.0878], [0.347, 0.33, 0.117], [0.448, 0.488, 0.122], [0.755, 0.646, 0.153], [0.173, 0.373, 0.154], [0.251, 0.856, 0.161], [0.835, 0.109, 0.176], [0.782, 0.477, 0.23], [0.278, 0.0251, 0.238], [0.65, 0.749, 0.256], [0.147, 0.752, 0.264], [0.95, 0.476, 0.33], [0.448, 0.0258, 0.335], [0.763, 0.856, 0.371], [0.262, 0.645, 0.377], [0.543, 0.317, 0.446], [0.0446, 0.183, 0.449], [0.708, 0.228, 0.457], [0.21, 0.273, 0.463], [0.572, 0.498, 0.486], [0.0728, 0.00306, 0.491], [0.927, 0.503, 0.509], [0.428, 0.998, 0.514], [0.79, 0.773, 0.537], [0.292, 0.728, 0.543], [0.955, 0.683, 0.551], [0.457, 0.817, 0.554], [0.738, 0.145, 0.623], [0.237, 0.356, 0.629], [0.552, 0.526, 0.665], [0.0495, 0.976, 0.67], [0.853, 0.252, 0.736], [0.35, 0.249, 0.744], [0.722, 0.525, 0.762], [0.218, 0.977, 0.77], [0.165, 0.609, 0.824], [0.749, 0.356, 0.839], [0.827, 0.873, 0.846], [0.245, 0.146, 0.847], [0.552, 0.988, 0.878], [0.653, 0.83, 0.883], [0.322, 0.683, 0.912], [0.451, 0.55, 0.948], [0.0448, 0.571, 0.949], [0.0599, 0.39, 0.996]]","[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",675622.0,2341647.0,-0.0003740318750002,0.0,64.0,P21
16,17,Cl,"[[-3.203427, -2.162654, 0.0], [-3.203427, 2.162654, 0.0], [0.0, 0.0, -8.067191]]","[[0.12, 0.88, 0.107], [0.62, 0.38, 0.393], [0.38, 0.62, 0.607], [0.88, 0.12, 0.893]]","[17, 17, 17, 17]",585140.0,1258374.0,0.0,0.0,4.0,Cmca
17,18,Ar,"[[3.578865, 0.0, 0.0], [-1.789433, 3.09938, 0.0], [0.0, 0.0, 5.847617]]","[[0.333, 0.667, 0.25], [0.667, 0.333, 0.75]]","[18, 18]",604613.0,1232541.0,0.0,0.0,2.0,P63/mmc
18,19,K,"[[-4.659758, 0.0, 0.0], [2.329879, -4.035469, 0.0], [2.329879, 1.345157, 7.652829]]","[[0.5, 0.75, 0.25], [0.5, 0.25, 0.75]]","[19, 19]",1215784.0,2694711.0,0.0,0.0,2.0,R-3m
19,20,Ca,"[[2.721822, -2.721822, 0.0], [-2.721822, 0.0, -2.721822], [2.721822, 2.721822, 0.0]]","[[0.0, 0.0, 0.0]]",[20],594524.0,1232519.0,0.0,0.0,1.0,Fm-3m
20,21,Sc,"[[3.291713, 0.0, 0.0], [-1.645857, 2.850632, 0.0], [0.0, 0.0, 5.110283]]","[[0.333, 0.667, 0.25], [0.667, 0.333, 0.75]]","[21, 21]",8146.0,5242.0,0.0,0.0,2.0,P63/mmc
21,22,Ti,"[[4.550057, 4e-05, 0.0], [-2.274994, 3.940485, 0.0], [0.0, 0.0, 2.809682]]","[[4.74e-06, 5.08e-06, 0.0], [0.667, 0.333, 0.5], [0.333, 0.667, 0.5]]","[22, 22, 22]",9315.0,1276149.0,0.0,0.0,3.0,P6/mmm
22,23,V,"[[1.487624, 1.487624, -1.487624], [1.487624, -1.487624, 1.487624], [-1.487624, -1.487624, -1.487624]]","[[0.0, 0.0, 0.0]]",[23],8082.0,3629.0,0.0,0.0,1.0,Im-3m
23,24,Cr,"[[1.41453, 1.41453, -1.41453], [1.41453, -1.41453, 1.41453], [-1.41453, -1.41453, -1.41453]]","[[0.0, 0.0, 0.0]]",[24],1215141.0,1281635.0,0.0,0.0,1.0,Im-3m
24,25,Mn,"[[4.26276, 4.26276, -4.26276], [4.26276, -4.26276, 4.26276], [-4.26276, -4.26276, -4.26276]]","[[0.0, 0.0, 0.0], [0.364, 0.0, 0.0], [0.606, 0.319, 0.0], [0.0, 0.364, 0.0], [0.319, 0.606, 0.0], [0.807, 0.63, 0.0], [0.63, 0.807, 0.0], [0.37, 0.37, 0.177], [0.823, 0.193, 0.193], [0.193, 0.823, 0.193], [0.681, 0.681, 0.287], [0.606, 0.0, 0.319], [0.0, 0.606, 0.319], [0.0, 0.0, 0.364], [0.37, 0.177, 0.37], [0.177, 0.37, 0.37], [0.713, 0.394, 0.394], [0.394, 0.713, 0.394], [0.319, 0.0, 0.606], [0.0, 0.319, 0.606], [0.807, 0.0, 0.63], [0.0, 0.807, 0.63], [0.636, 0.636, 0.636], [0.681, 0.287, 0.681], [0.287, 0.681, 0.681], [0.394, 0.394, 0.713], [0.63, 0.0, 0.807], [0.0, 0.63, 0.807], [0.193, 0.193, 0.823]]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",7874.0,1054202.0,0.0,0.0,29.0,I-43m
25,26,Fe,"[[1.4091, 1.4091, 1.4091], [1.4091, -1.4091, -1.4091], [-1.4091, 1.4091, -1.4091]]","[[0.0, 0.0, 0.0]]",[26],8568.0,4213.0,0.0,0.0,1.0,Im-3m
26,27,Co,"[[2.483155743, 0.0, 0.0], [-1.241577872, 2.150475955, 0.0], [0.0, 0.0, 4.01495696]]","[[0.333, 0.667, 0.25], [0.667, 0.333, 0.75]]","[27, 27]",637416.0,2369249.0,-0.0168910999999996,0.0,2.0,P63/mmc
27,28,Ni,"[[-1.238008372, 1.238008372, 1.752230195], [1.238008372, -1.238008372, 1.752230195], [1.238008372, 1.238008372, -1.752230195]]","[[0.0, 0.0, 0.0]]",[28],1485065.0,3847937.0,-0.0011435100000003,0.0,1.0,I4/mmm
28,29,Cu,"[[0.0, 1.805395502, 1.805395502], [1.805395502, 0.0, 1.805395502], [1.805395502, 1.805395502, 0.0]]","[[0.0, 0.0, 0.0]]",[29],635950.0,5193079.0,0.0,0.0,1.0,Fm-3m
29,30,Zn,"[[2.640824, 0.0, 0.0], [-1.320412, 2.287013, 0.0], [0.0, 0.0, 5.025683]]","[[0.333, 0.667, 0.25], [0.667, 0.333, 0.75]]","[30, 30]",122929.0,1234003.0,0.0,0.0,2.0,P63/mmc
30,31,Ga,"[[-2.277499, -3.870427, 0.0], [-2.277499, 3.870427, 0.0], [0.0, 0.0, -4.558513]]","[[0.156, 0.844, 0.0813], [0.656, 0.344, 0.419], [0.344, 0.656, 0.581], [0.844, 0.156, 0.919]]","[31, 31, 31, 31]",1214704.0,1282970.0,0.0,0.0,4.0,Cmca
31,32,Ge,"[[2.878716, -2.878716, 0.0], [-2.878716, 0.0, -2.878716], [2.878716, 2.878716, 0.0]]","[[0.0, 0.0, 0.0], [0.75, 0.5, 0.25]]","[32, 32]",7651.0,5734.0,0.0,0.0,2.0,Fd-3m
32,33,As,"[[4.234669, -0.008503, -0.005733], [2.534005, 3.392833, -0.005733], [2.534005, 1.267, 3.147389]]","[[0.226, 0.226, 0.226], [0.774, 0.774, 0.774]]","[33, 33]",626962.0,1232946.0,0.0,0.0,2.0,R-3m
33,34,Se,"[[4.396591, 0.0, 0.0], [-2.198296, 3.807559, 0.0], [0.0, 0.0, 5.029514]]","[[0.772, 0.772, 0.0], [0.228, 0.0, 0.333], [0.0, 0.228, 0.667]]","[34, 34, 34]",1215905.0,2694953.0,0.0,0.0,3.0,P3121
34,35,Br,"[[-3.492712, -2.109403, 0.0], [-3.492712, 2.109403, 0.0], [0.0, 0.0, -8.557065]]","[[0.148, 0.852, 0.12], [0.648, 0.352, 0.38], [0.352, 0.648, 0.62], [0.852, 0.148, 0.88]]","[35, 35, 35, 35]",638130.0,1233363.0,0.0,0.0,4.0,Cmca
35,36,Kr,"[[3.933791, 0.0, 0.0], [-1.966896, 3.40672, 0.0], [0.0, 0.0, 6.42902]]","[[0.333, 0.667, 0.25], [0.667, 0.333, 0.75]]","[36, 36]",2562.0,5057.0,0.0,0.0,2.0,P63/mmc
36,37,Rb,"[[2.521473, -4.367319, 0.0], [2.521473, 4.367319, 0.0], [0.0, -2.911546, 12.206998]]","[[0.0, 0.0, 0.0], [0.222, 0.778, 0.333], [0.778, 0.222, 0.667]]","[37, 37, 37]",1216079.0,2695291.0,0.0,0.0,3.0,R-3m
